"iso","name","show (1 = yes 0 = no)"
1,Altstadt Grossbasel,1
2,Vorstädte,1
3,Am Ring,1
4,Breite,1
5,St. Alban,1
6,Gundeldingen,1
7,Bruderholz,1
8,Bachletten,1
9,Gotthelf,1
10,Iselin,1
11,St. Johann,1
12,Altstadt Kleinbasel,1
13,Clara,1
14,Wettstein,1
15,Hirzbrunnen,1
16,Rosental,1
17,Matthäus,1
18,Klybeck,1
19,Kleinhüningen,1
20,Riehen,1
30,Bettingen,1
AI,AI,1
Armenien,Armenien,1
Aserbaidschan,Aserbaidschan,1
AustralienNeuseeland,Australien Neuseeland,1
BurkinaFaso,Burkina Faso,1
ElSalvador,El Salvador,1
Jordanien,Jordanien,1
Kasachstan,Kasachstan,1
Libyen,Libyen,1
Mongolei,Mongolei,1
Nepal,Nepal,1
Panama,Panama,1
Paraguay,Paraguay,1
Serbien,Serbien,1
Somalia,Somalia,1
Sudan,Sudan,1
UR,UR,1
Uganda,Uganda,1
Uruguay,Uruguay,1
Zypern,Zypern,1
unbekannt,unbekannt,1
unbekannterKanton,unbekannter Kanton,1
übrigesAfrika,übriges Afrika,1
übrigesAsien,übriges Asien,1
übrigesEuropa,übriges Europa,1
übrigesLateinamerika,übriges Lateinamerika,1
übrigesNordamerika,übriges Nordamerika,1
